,Urdu,Roman Urdu
309,ہوگئی,hogi
310,ہوگا,hoga
311,ہوگی,hogi
312,ہوگیا,hogaya
313,ہوگے,hogy
314,ہوگئے,hogy
315,ہوں,hon
316,ہوے,hoey
317,ہی,hi
318,ہیں,hain
319,ہے,hay
320,یوں,yon
321,یہ,yeh
322,یہاں,yahan
